Posts,Followers,Following,Sex,Posts of themselves in last 10 posts,Posts in last year
17,275,431,M,9,0
33,673,670,M,9,1
85,928,928,M,10,2
21,887,867,M,10,1
9,118,16,M,0,9
5,232,748,F,0,0
16,847,1643,M,8,5
182,798,1415,M,10,26
15,755,749,M,10,1
17,496,463,M,9,5
9,683,735,M,0,0
21,160,796,M,8,0
2,230,237,M,0,0
23,143,260,M,8,5
7,202,273,M,0,0
186,2106,1877,F,10,20
50,680,598,F,6,17
157,540,358,F,10,13
6,270,309,F,0,1
65,904,883,F,5,30
57,534,551,F,10,5
15,717,707,F,10,7
53,513,592,F,7,3
24,255,821,M,2,5
5,627,576,M,0,3
5,508,239,F,0,5
64,198,534,F,2,20
5,687,399,F,0,4
0,787,992,M,0,0
17,1111,1617,F,9,14
40,85,60,F,1,0
1,415,1201,M,0,0
27,195,369,F,9,0
154,359,81,F,7,0
32,638,848,F,10,6
0,81,83,F,0,0
91,572,1649,F,1,2
10,89,135,F,10,2
250,654,912,F,9,11
106,1077,1110,M,10,1
25,190,175,F,5,6
1494,7672,734,F,4,0
9,176,403,F,0,3
0,22,22,F,0,0
88,281,421,F,9,1
11,150,240,M,9,7
4,713,439,F,0,3
855,6122,2830,M,5,180
496,1257,1002,F,10,14
205,2811,1519,F,9,12
165,974,1113,F,10,17
10,661,1159,F,10,10
171,399,784,F,3,0
722,350,1349,F,3,17
67,529,584,F,10,11
133,1184,1013,F,7,31
225,772,577,F,5,7
0,233,316,M,0,0
183,210,507,F,5,23
10,244,267,F,0,0
51,1265,1157,F,8,14
43,1144,836,F,9,12
710,47,1344,F,4,14
107,1653,2411,F,6,104
25,522,1121,F,10,2
0,415,1106,M,0,0
155,316,393,F,10,38
8,775,824,M,0,1
24,1006,801,F,10,4
90,515,601,F,9,29
9,100,220,M,0,0
40,1291,766,F,8,21
235,995,475,M,8,4
20,167,281,M,2,0
10,199,379,F,2,9
71,328,661,F,4,2
40,413,413,M,10,0
4,228,187,M,0,0
22,385,369,F,7,9
32,473,543,F,10,7
46,1514,1018,F,10,19
39,451,668,F,3,6
23,259,438,M,7,2
28,1138,1003,M,10,6
83,687,671,F,7,15
1,60,117,M,0,0
10,534,496,M,10,7
2,250,375,M,0,0
0,384,523,M,0,0
11,348,390,F,5,0
38,659,864,F,9,0
0,525,865,M,0,0
113,1251,1895,F,1,40
243,2131,2270,F,10,65
98,391,436,F,10,15
52,904,953,F,8,13
119,573,726,F,5,5
69,879,1282,F,4,12
44,760,810,F,6,11
34,332,398,M,7,0
70,1133,933,F,8,6
14,235,270,M,8,2
68,676,794,F,9,14
134,1119,1468,F,10,8
8,509,623,M,0,3
15,1246,1304,F,9,3
88,927,843,F,8,12
15,18,1677,M,0,0
0,383,402,F,0,0
182,664,1732,M,0,14
0,98,128,F,0,0
290,1098,982,F,8,8
0,467,451,F,0,0
72,497,474,M,9,11
36,317,57,F,0,15
2,356,445,F,0,1
541,772,1262,F,9,18
227,670,1489,F,9,8
0,60,79,F,0,0
279,496,2681,F,1,8
16,150,102,F,0,1
21,905,845,M,9,2
111,421,832,F,3,0
77,1423,1212,F,9,14
34,86,88,F,6,30
180,3983,1767,F,10,75
0,173,325,M,0,0
76,604,691,M,9,0
6,281,372,F,0,2
180,590,598,F,9,13
128,1059,1241,F,10,2
36,504,778,F,10,4
8,287,279,F,0,8
15,578,586,F,10,11
8,620,566,F,0,5
56,1030,1488,F,10,7
183,1049,1048,M,10,112
43,1129,803,M,9,10
24,1145,932,F,10,19
342,5159,2420,M,6,57
30,308,373,M,4,3
244,1385,898,F,10,11
49,988,1225,M,10,6
37,875,1132,F,9,17
224,1329,967,F,9,17
11,5559,6221,M,9,0
22,1228,1315,M,9,3
2,390,464,M,0,2
90,406,905,F,10,4
110,1376,2202,F,9,25
17,1265,2135,F,9,0
1,3378,3008,M,0,1
12,1660,1585,F,10,4
33,648,913,F,10,8
97,3006,2972,F,9,21
28,341,371,F,10,11
16,815,862,M,10,9
39,279,162,M,4,12
95,607,416,M,1,18
31,87,122,F,2,22
20,319,325,F,8,7
26,341,229,F,8,13
11,273,465,M,0,6
7,667,493,M,0,7
132,4470,2172,F,10,5
13,312,458,M,7,6
636,964,1030,M,9,4
52,1021,871,M,8,2
14,830,693,M,10,0
15,963,844,F,10,9
61,512,637,F,6,6
71,1498,1136,F,10,15
36,415,510,F,8,22
123,1753,964,F,10,23
66,946,888,M,10,2
114,813,802,F,9,103
11,519,483,M,9,6
0,51,114,M,0,0
91,1112,926,F,10,13
16,334,309,F,5,4
551,224,333,F,4,225
1,373,676,M,0,1
1,25,25,F,0,1
12,30,32,F,6,12
90,1827,959,M,10,16
156,664,625,F,10,36
140,2118,3521,M,10,8
6,673,1324,M,0,1
227,4609,2184,F,8,72
29,659,1174,F,9,10
921,1918,1370,F,10,135
8,642,594,F,0,3
39,1366,1367,F,10,21
263,1731,2318,F,10,24
47,1097,1036,F,10,14
33,1065,1579,F,8,15
346,871,986,F,9,3
14,1072,2552,F,8,4
23,587,563,F,10,9
0,118,136,M,0,0
68,423,397,F,8,13
37,199,278,M,3,1
206,354,815,F,9,4
40,352,359,M,5,10
2,179,331,M,0,0
15,613,849,M,8,1
57,2518,2777,F,10,25
37,444,621,M,10,3
37,509,275,F,7,37
89,1599,1583,M,10,7
48,831,776,F,7,16
5,312,315,M,0,0
121,63,65,F,5,25
28,271,327,M,4,2
123,319,522,F,8,5
101,919,918,F,9,15
76,639,705,F,2,22
0,61,122,F,0,0
95,247,1171,F,7,13
115,1354,1239,F,10,16
35,1239,1458,M,10,0
20,400,548,F,10,13
38,42,0,F,3,38
26,989,969,M,9,10
19,476,516,F,7,5
23,825,577,F,9,8
28,290,571,M,4,19
54,646,638,F,8,54
5,103,119,M,0,5
44,162,180,F,0,7
195,561,607,F,4,16
44,385,628,F,4,6
63,72,98,F,7,17
37,648,1755,F,9,8
80,1305,781,F,10,15
5,524,541,F,0,5
3,63,8,M,0,3
36,653,856,M,10,12
4,381,377,F,0,4
104,48,49,F,2,33
16,13,12,F,9,16
79,73,76,M,3,5
10,527,478,M,10,0
18,12,15,F,6,2
10,38,49,M,4,10
23,344,493,M,3,1
3,167,196,M,0,1
12,1262,946,F,10,5
36,440,638,F,10,1
44,403,760,F,3,5
156,372,1609,M,2,5
32,234,375,M,10,8
11,339,523,M,5,0
16,49,51,F,4,16
68,840,924,M,8,2
2,67,1322,F,0,0
0,768,1186,F,0,0
0,78,88,F,0,0
5,516,566,M,0,0
42,1335,1029,F,10,12
7,340,1073,F,0,7
10,917,1062,F,9,4
22,1179,1000,M,10,0
61,535,563,F,7,61
78,438,588,F,6,9
6,149,196,M,0,6
189,1044,2686,F,10,32
16,657,672,F,7,6
69,1338,1003,F,10,15
41,543,503,F,6,6
43,1476,1343,F,10,7
19,629,620,M,10,4
16,855,991,M,9,3
22,1046,976,F,7,3
0,162,181,F,0,0
25,439,323,M,0,24
36,631,1110,F,0,7
5,797,306,F,0,2
5,507,686,M,0,1
47,552,993,M,8,8
59,740,813,F,8,21
43,571,719,M,9,7
29,1064,917,F,10,10
3,556,564,M,0,3
4,712,758,M,0,1
0,596,594,F,0,0
30,1108,1629,M,10,5
12,1027,1228,F,0,0
0,55,66,F,0,0
1,219,402,M,0,1
39,821,378,F,9,6
36,975,762,F,9,2
1897,1015,807,F,3,15
49,1392,1089,F,10,13
295,1679,1469,F,7,13
